id,name,region,code,active,population,is_capital,subdomen,is_mobile
72015,Новосибирск,Новосибирская область,novosibirsk,1,1612833,1,1,0
69603,Екатеринбург,Свердловская область,ekaterinburg,1,1483119,1,1,0
68314,Нижний Новгород,Нижегородская область,nighniynovgorod,1,1253511,1,1,0
74304,Челябинск,Челябинская область,chelyabinsk,1,1200719,1,0,0
73130,Самара,Самарская область,samara,1,1156644,1,1,0
72204,Омск,Омская область,omsk,1,1154000,1,0,0
70033,Казань,Республика Татарстан,kazan,1,1143546,1,1,0
67118,Уфа,Республика Башкортостан,ufa,1,1135480,1,0,0
70754,Красноярск,Красноярский Край,krasnoyarsk,1,1095286,1,1,0
73024,Ростов-на-Дону,Ростовская область,rostov_na_donu,1,1091544,1,0,0
68942,Воронеж,Воронежская область,voronezh,1,1054537,1,0,0
67946,Пермь,Пермский край,perm,1,1053938,1,0,0
68896,Волгоград,Волгоградская область,volgograd,1,1021244,1,0,0
70730,Краснодар,Краснодарский Край,krasnodar,1,918145,1,0,0
71708,Саратов,Саратовская область,saratov,1,841902,1,0,0
74114,Тюмень,Тюменская область,tyumen,1,778667,1,0,0
73958,Тольятти,Самарская область,tolyyatti,1,699377,0,0,0
68123,Барнаул,Алтайский край,barnaul,1,697606,1,0,0
69875,Ижевск,Удмуртская Республика,izhevsk,1,648944,1,0,0
74168,Ульяновск,Ульяновская область,ulyyanovsk,1,627870,1,0,0
69955,Иркутск,Иркутская область,irkutsk,1,623479,1,1,0
67425,Хабаровск,Хабаровский Край,khabarovsk,1,618150,1,1,0
74732,Ярославль,Ярославская область,yaroslavly,1,609828,1,0,0
67394,Владивосток,Приморский Край,vladivostok,1,605049,1,1,0
74954,Махачкала,Республика Дагестан,makhachkala,1,601286,1,0,0
73964,Томск,Томская область,tomsk,1,575352,1,1,0
72237,Оренбург,Оренбургская область,orenburg,1,571499,1,0,0
71992,Новокузнецк,Кемеровская область,novokuznetsk,1,552105,0,0,0
67915,Астрахань,Астраханская область,astrakhan,1,534241,1,0,0
71779,Набережные Челны,Республика Татарстан,naberezhnyye_chelny,1,533907,0,0,0
70324,Кемерово,Кемеровская область,kemerovo,1,532884,1,0,0
73074,Рязань,Рязанская область,ryazan,1,525062,1,0,0
72444,Пенза,Пензенская область,penza,1,522317,1,0,0
70413,Киров,Кировская область,kirov,1,512954,1,0,0
71141,Липецк,Липецкая область,lipeck,1,509735,1,0,0
74066,Тула,Тульская область,tula,1,501129,1,0,0
74297,Чебоксары,Республика Чувашия,cheboksary,1,495317,1,0,0
74956,Балашиха,Московская область,balashikha,1,490047,0,0,0
73577,Ставрополь,Ставропольский Край,stavropol,1,467367,1,0,0
70896,Курск,Курская область,kursk,1,449556,1,0,0
73551,Сочи,Краснодарский Край,sochi,1,443644,0,0,0
73293,Севастополь,Севастополь (город федерального значения),sevastopol,1,443212,0,0,0
74161,Улан-Удэ,Республика Бурятия,ulan_ude,1,435496,1,0,0
70070,Калининград,Калининградская область,kaliningrad,1,431491,1,0,0
67109,Тверь,Тверская область,tver,1,420065,1,0,0
71302,Магнитогорск,Челябинская область,magnitogorsk,1,416521,0,0,0
69851,Иваново,Ивановская область,ivanovo,1,405053,1,0,0
68562,Брянск,Брянская область,bryansk,1,404793,1,0,0
68206,Белгород,Белгородская область,belgorod,1,392426,1,0,0
71911,Нижний Тагил,Свердловская область,nizhniy_tagil,1,352135,0,0,0
74381,Чита,Забайкальский край,chita,1,349983,1,0,0
67881,Архангельск,Архангельская область,arkhangelsk,1,348716,1,0,0
68882,Владимир,Владимирская область,vladimir,1,348256,1,0,0
73406,Симферополь,Республика Крым,simferopol,1,338319,1,0,0
70077,Калуга,Калужская область,kaluga,1,336726,1,0,0
73476,Смоленск,Смоленская область,smolensk,1,329427,1,0,0
68902,Волжский,Волгоградская область,volzhskiy,1,323906,0,0,0
